"address","type","parking_space","area","district_city","nearest_subway_station"
"191028, Сакт-Петербург, улица Пестеля, д.2","Платная",33,66,"Центральный","Чернышевская"
"191028, Сакт-Петербург, улица Пестеля, д.27","Платная",12,24,"Центральный","Чернышевская"
"191028, Сакт-Петербург, улица Пестеля, д.16","Платная",12,24,"Центральный","Чернышевская"
"191028, Сакт-Петербург, улица Пестеля, д.11","Платная",15,30,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Преображенская площадь, д.1","Платная",12,24,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Рылеева, д.1","Платная",8,16,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Преображенская площадь, д.4","Платная",23,46,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Манежный переулок, д.1","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Озерной переулок, д.3","Платная",29,58,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Озерной переулок, д.9","Платная",12,24,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Кирочная улица, дом 6","Платная",9,18,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Кирочная улица, д.5","Платная",23,46,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Кирочная улица, дом 8","Платная",19,38,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Кирочная улица, д. 11","Платная",10,20,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Кирочная улица, дом 14","Платная",14,28,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Кирочная улица, дом 20","Платная",5,10,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Кирочная улица, дом 22","Платная",5,10,"Центральный","Чернышевская"
"191028, Сакт-Петербург, Кирочная улица, дом 24","Платная",15,30,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Кирочная улица, д. 15","Платная",25,50,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Кирочная улица, дом 17","Платная",4,8,"Центральный","Чернышевская"
"191123, Сакт-Петербург, Кирочная улица, дом 30","Платная",8,16,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Ковенский переулок, дом 9","Платная",35,70,"Центральный","Чернышевская"
"191014, Сакт-Петербург, Ковенский переулок, д. 10А","Платная",34,68,"Центральный","Чернышевская"
